PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,MATH_CANTIDAD,MATH_CAMBIO_REL,MATH_ESPACIO_FORMA,MATH_DATOS_INCERT,MATH_FORMULACION,MATH_PROCEDIMIENTOS,MATH_INTERPRETACION,MATH_RAZONAMIENTO,MATH_PROMEDIO,MATH_LOGRO
345.399,324.989,372.074,354.885,364.118,357.311,332.899,273.631,338.097,306.864,15.75,0,1,0,1,1,5,3,4,5,,3,3,2,3,2,,5,4,,,1,,,1,4,3,2,2,2,,,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,1,1,1,362.7859,315.02509999999995,390.0648,349.19530000000003,351.40220000000005,342.39860000000004,370.9045,355.1504,354.61585,0
392.984,398.52,354.017,431.459,388.498,335.722,367.239,428.286,391.804,387.961,16.17,1,0,1,0,0,5,6,5,4,3,2,,3,3,3,,,,,,,,,,,4,4,4,4,1.0,,1.0,1.0,1.0,,0,1,1,1,1,1,1,1,1,1,378.37390000000005,380.1831,401.36400000000003,339.6969,384.8071,381.5699000000001,396.31789999999995,376.8208000000001,379.8917,0
298.479,326.762,273.155,290.603,274.588,332.643,312.488,365.739,296.818,337.437,16.25,1,0,0,0,1,,,,,,,3,2,2,2,,,,,,,,,,,2,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,0,,1,,1,3,325.71990000000005,305.26200000000006,315.2557,251.59949999999998,308.6171,320.0725,277.25,266.2319,296.251075,0
334.534,291.94,265.874,302.434,213.076,271.113,291.715,334.264,281.487,242.324,16.08,1,0,0,1,0,10,9,10,10,2,1,2,,3,2,,,3,3,,3,3,3,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1,2,302.63360000000006,287.0586,281.9532,268.37719999999996,214.00789999999998,294.04779999999994,290.66759999999994,295.35,279.26198750000003,0
414.582,394.416,396.977,398.126,403.72,444.169,405.652,418.055,437.709,408.744,15.83,1,0,0,0,0,3,3,0,0,1,3,3,,3,1,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,3,407.18860000000006,404.46500000000003,425.773,382.86600000000004,441.4261,402.13759999999996,400.4027,406.9772,408.90452500000004,0
540.796,518.228,554.958,580.154,497.835,520.643,510.405,545.933,497.616,575.591,16.25,1,0,0,0,1,10,9,0,0,2,3,3,2,,3,1,,,3,2,2,1,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,3,3,2,547.6457,567.0896,555.2476,539.8041,550.2872,515.3599999999999,547.6828000000002,546.2591,546.1720124999999,1
361.778,379.863,295.334,320.668,324.746,311.281,330.379,356.121,332.441,391.603,16.25,1,0,1,1,1,4,3,1,4,,3,1,3,3,2,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,0,0,2,2,2,354.74219999999997,390.8265,341.0509,282.4724,324.0513,351.48400000000004,289.2287,342.3157,334.52146250000004,0
419.011,370.441,390.313,390.942,442.779,427.628,398.501,416.262,439.008,412.356,16.17,0,0,0,1,1,8,10,10,10,2,3,3,,3,2,,,,,,,,,,,4,4,4,4,1.0,,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,1,2,415.3777,420.44309999999996,402.1433,401.21449999999993,363.90809999999993,391.1518,416.52340000000004,433.11889999999994,405.48509999999993,0
313.523,317.305,348.624,344.996,338.657,325.17,370.752,360.006,374.044,319.523,15.58,0,0,0,0,0,4,10,8,10,1,3,3,,2,2,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,,1,0,0,0,0,0,1,0,1,0,330.82779999999997,337.8882,256.2598,322.89320000000004,330.4096,379.23109999999997,348.5562,320.4585000000001,328.31555,0
337.457,383.784,359.361,345.477,362.706,303.907,343.623,368.953,354.974,347.673,15.75,0,0,0,0,0,10,10,10,10,2,3,3,2,3,,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,2,0,3,,3,359.22619999999995,360.4118,342.7852,318.0452,313.5906,346.45320000000004,354.62080000000003,333.547,341.08500000000004,0
