PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,PV1MATH_target
345.399,324.989,372.074,354.885,364.118,357.311,332.899,273.631,338.097,306.864,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
392.984,398.52,354.017,431.459,388.498,335.722,367.239,428.286,391.804,387.961,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
298.479,326.762,273.155,290.603,274.588,332.643,312.488,365.739,296.818,337.437,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
334.534,291.94,265.874,302.434,213.076,271.113,291.715,334.264,281.487,242.324,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
414.582,394.416,396.977,398.126,403.72,444.169,405.652,418.055,437.709,408.744,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
540.796,518.228,554.958,580.154,497.835,520.643,510.405,545.933,497.616,575.591,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
361.778,379.863,295.334,320.668,324.746,311.281,330.379,356.121,332.441,391.603,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
419.011,370.441,390.313,390.942,442.779,427.628,398.501,416.262,439.008,412.356,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
313.523,317.305,348.624,344.996,338.657,325.17,370.752,360.006,374.044,319.523,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
337.457,383.784,359.361,345.477,362.706,303.907,343.623,368.953,354.974,347.673,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
397.464,444.478,426.243,417.683,402.743,415.949,404.46,469.135,415.804,431.809,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
493.638,529.472,453.729,460.825,464.558,487.705,459.259,477.508,427.33,466.873,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
497.889,594.177,508.892,597.827,510.412,511.405,546.01,495.121,535.946,552.194,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
317.795,344.457,402.787,313.796,293.567,307.776,320.149,323.821,337.506,336.226,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
369.852,375.131,300.243,363.264,376.588,318.973,313.766,328.352,357.404,319.514,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
385.413,362.384,324.236,362.629,358.864,333.942,293.406,387.172,371.406,373.278,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
441.019,414.8,381.752,421.051,465.506,397.366,408.791,478.232,431.827,452.067,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
407.479,422.498,475.421,438.764,421.024,456.522,423.935,460.829,475.294,468.512,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
414.201,422.199,431.36,417.395,430.754,416.652,459.664,437.629,463.314,417.996,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
514.133,491.487,488.163,505.011,491.561,429.194,495.68,479.699,458.998,444.707,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
395.475,403.927,376.062,367.903,384.759,371.779,390.63,366.897,384.874,427.279,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
271.227,331.55,347.692,339.937,380.016,290.16,330.874,362.986,330.834,300.127,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
209.586,309.129,325.806,314.896,360.458,316.397,286.951,250.577,267.317,278.506,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
362.996,367.219,369.739,391.098,370.027,393.034,443.583,386.435,396.998,396.562,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
337.705,346.509,373.407,357.871,367.886,378.363,380.689,398.857,354.854,392.397,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
650.542,685.037,673.6,698.58,649.607,650.737,655.703,620.353,628.125,649.806,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
427.517,372.949,441.047,417.432,407.967,368.525,365.557,374.06,411.012,432.51,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
414.298,438.5,393.046,401.895,407.854,436.965,424.814,439.723,429.147,449.276,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
473.529,487.979,446.826,428.462,414.33,434.769,457.807,415.696,448.72,406.212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
449.414,510.061,432.553,513.41,485.499,471.273,504.49,460.929,468.815,449.081,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
449.93,446.096,404.004,433.928,441.342,444.486,459.384,414.482,452.521,436.99,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
